id_commande;date;heure_de_depart;pickup_lng;pickup_lat;dropoff_lng;dropoff_lat;nbPax;tstype
cmd80;01/01/2013;00:00;-74.004631;40.746944;-73.915642;40.760651;1;pickUpMinDateTime
cmd81;01/01/2013;00:00;-73.952362;40.786572;-73.938469;40.828808;1;pickUpMinDateTime
cmd82;01/01/2013;00:00;-73.978264;40.745548;-73.952492;40.80014;1;pickUpMinDateTime
cmd83;01/01/2013;00:00;-73.994049;40.718227;-73.987206;40.720482000000004;1;pickUpMinDateTime
cmd84;01/01/2013;00:00;-73.995285;40.739258;-74.011833;40.707699;2;pickUpMinDateTime
cmd85;01/01/2013;00:00;-74.001671;40.729378000000004;-74.006889;40.705479;1;pickUpMinDateTime
cmd86;01/01/2013;00:00;-73.979378;40.746178;-73.97653199999999;40.739509999999996;3;pickUpMinDateTime
cmd87;01/01/2013;00:00;-73.988571;40.764046;-73.991013;40.760773;2;pickUpMinDateTime
cmd88;01/01/2013;00:00;-73.975189;40.792675;-73.992767;40.768612;1;pickUpMinDateTime
cmd89;01/01/2013;00:00;-73.990135;40.738564000000004;-73.98796800000001;40.719944;1;pickUpMinDateTime
cmd90;01/01/2013;00:00;-73.940376;40.750771;-73.97283900000001;40.764633;2;pickUpMinDateTime
cmd91;01/01/2013;00:00;-73.981392;40.768738;-73.971985;40.763271;1;pickUpMinDateTime
cmd92;01/01/2013;00:00;-73.977699;40.783962;-73.949432;40.786137;1;pickUpMinDateTime
cmd93;01/01/2013;00:00;-73.96264599999999;40.767466999999996;-73.954063;40.776943;1;pickUpMinDateTime
cmd94;01/01/2013;00:00;-73.865967;40.770851;-73.938347;40.76059;4;pickUpMinDateTime
cmd95;01/01/2013;00:00;-73.982956;40.738949;-73.781235;40.71452;1;pickUpMinDateTime
cmd96;01/01/2013;00:10;-73.985878;40.746632;-73.99231;40.737946;1;pickUpMinDateTime
cmd97;01/01/2013;00:10;-73.97699;40.78495;-73.977028;40.792679;1;pickUpMinDateTime
cmd98;01/01/2013;00:10;-73.971115;40.765934;-73.95953399999999;40.758877000000005;4;pickUpMinDateTime
cmd99;01/01/2013;00:10;-73.995537;40.754593;-73.98864;40.774094;2;pickUpMinDateTime
cmd100;01/01/2013;00:10;-74.006111;40.723415;-73.965141;40.686752;2;pickUpMinDateTime
cmd101;01/01/2013;00:10;-73.98219300000001;40.751076;-73.963921;40.792221000000005;4;pickUpMinDateTime
cmd102;01/01/2013;00:10;-73.984589;40.742928000000006;-73.963608;40.675621;2;pickUpMinDateTime
cmd103;01/01/2013;00:10;-73.991722;40.750011;-73.99850500000001;40.717242999999996;4;pickUpMinDateTime
cmd104;01/01/2013;00:10;-73.97919499999999;40.753422;-73.948013;40.778713;1;pickUpMinDateTime
cmd105;01/01/2013;00:10;-73.956055;40.76791;-73.956581;40.779064;1;pickUpMinDateTime
cmd106;01/01/2013;00:10;-74.003349;40.732796;-73.986671;40.769283;1;pickUpMinDateTime
cmd107;01/01/2013;00:10;-73.994873;40.755459;-73.986977;40.746346;1;pickUpMinDateTime
cmd108;01/01/2013;00:10;-73.98788499999999;40.718567;-73.98259;40.745441;1;pickUpMinDateTime
cmd109;01/01/2013;00:10;-74.004349;40.742367;-74.014664;40.710861;1;pickUpMinDateTime
cmd110;01/01/2013;00:10;-73.978096;40.783198999999996;-73.976242;40.780918;1;pickUpMinDateTime
cmd111;01/01/2013;00:10;-73.951202;40.777699;-73.989594;40.750595000000004;1;pickUpMinDateTime
cmd112;01/01/2013;00:10;-73.97796600000001;40.745968;-73.954918;40.7775;2;pickUpMinDateTime
cmd113;01/01/2013;00:10;-73.981285;40.732548;-73.956009;40.767853;2;pickUpMinDateTime
cmd114;01/01/2013;00:10;-73.972443;40.751583000000004;-73.96814;40.758967999999996;1;pickUpMinDateTime
cmd115;01/01/2013;00:10;-73.991951;40.759483;-73.965553;40.806228999999995;2;pickUpMinDateTime
cmd116;01/01/2013;00:10;-73.957771;40.77454;-73.975174;40.785221;1;pickUpMinDateTime
cmd117;01/01/2013;00:10;-73.99140899999999;40.737536999999996;-73.98021700000001;40.726440000000004;2;pickUpMinDateTime
cmd118;01/01/2013;00:10;-73.993484;40.721508;-73.996361;40.767288;2;pickUpMinDateTime
cmd119;01/01/2013;00:10;-73.994057;40.751315999999996;-73.99200400000001;40.754397999999995;1;pickUpMinDateTime
